,0
HLT,hotels-resorts-cruise-lines
HTHT,hotels-resorts-cruise-lines
IHG,hotels-resorts-cruise-lines
MAR,hotels-resorts-cruise-lines
MTN,hotels-resorts-cruise-lines
NCLH,hotels-resorts-cruise-lines
RCL,hotels-resorts-cruise-lines
RRR,hotels-resorts-cruise-lines
WH,hotels-resorts-cruise-lines
CHD,household-personal-care
CL,household-personal-care
CLX,household-personal-care
COTY,household-personal-care
EL,household-personal-care
ENR,household-personal-care
EPC,household-personal-care
IFF,household-personal-care
IFFT,household-personal-care
IPAR,household-personal-care
KMB,household-personal-care
NUS,household-personal-care
PG,household-personal-care
REV,household-personal-care
UL,household-personal-care
USNA,household-personal-care
HI,industrial-conglomerates
HON,industrial-conglomerates
IEP,industrial-conglomerates
MMM,industrial-conglomerates
NWL,industrial-conglomerates
SPXC,industrial-conglomerates
WRAP,industrial-conglomerates
AAON,industrial-machinery
ACMR,industrial-machinery
AIMC,industrial-machinery
AMAT,industrial-machinery
ASML,industrial-machinery
BMI,industrial-machinery
CFX,industrial-machinery
DDD,industrial-machinery
DOV,industrial-machinery
FELE,industrial-machinery
FLOW,industrial-machinery
FLS,industrial-machinery
GE,industrial-machinery
GGG,industrial-machinery
GTEC,industrial-machinery
GTES,industrial-machinery
GTLS,industrial-machinery
IEX,industrial-machinery
IR,industrial-machinery
ITT,industrial-machinery
ITW,industrial-machinery
JBT,industrial-machinery
KMT,industrial-machinery
LECO,industrial-machinery
MIDD,industrial-machinery
MWA,industrial-machinery
NDSN,industrial-machinery
NNDM,industrial-machinery
NPO,industrial-machinery
PH,industrial-machinery
PRLB,industrial-machinery
RBC,industrial-machinery
RXN,industrial-machinery
WBT,industrial-machinery
WTS,industrial-machinery
WWD,industrial-machinery
XONE,industrial-machinery
XYL,industrial-machinery
AXTA,industrial-specialties
CBT,industrial-specialties
CC,industrial-specialties
DCI,industrial-specialties
FOE,industrial-specialties
FUL,industrial-specialties
GCP,industrial-specialties
LAKE,industrial-specialties
OLN,industrial-specialties
PPG,industrial-specialties
RPM,industrial-specialties
SHW,industrial-specialties
TSE,industrial-specialties
WDFC,industrial-specialties
ACN,information-technology-services
ALRM,information-technology-services
ANY,information-technology-services
APPF,information-technology-services
BKYI,information-technology-services
BOX,information-technology-services
BRQS,information-technology-services
CACI,information-technology-services
CDW,information-technology-services
CERN,information-technology-services
CSCO,information-technology-services
CTSH,information-technology-services
DAVA,information-technology-services
DOX,information-technology-services
DSGX,information-technology-services
EPAM,information-technology-services
FEYE,information-technology-services
FIVN,information-technology-services
FSLY,information-technology-services
GIB,information-technology-services
GLOB,information-technology-services
GWRE,information-technology-services
HUBS,information-technology-services
IBM,information-technology-services
IDEX,information-technology-services
INFY,information-technology-services
INPX,information-technology-services
INUV,information-technology-services
JKHY,information-technology-services
JNPR,information-technology-services
KBR,information-technology-services
LDOS,information-technology-services
LINX,information-technology-services
MDRX,information-technology-services
MOMO,information-technology-services
NET,information-technology-services
NEWR,information-technology-services
NICE,information-technology-services
NOW,information-technology-services
NSIT,information-technology-services
NTCT,information-technology-services
OMCL,information-technology-services
PEGA,information-technology-services
PRO,information-technology-services
QTWO,information-technology-services
RMBL,information-technology-services
RPD,information-technology-services
SAIC,information-technology-services
SPLK,information-technology-services
SQ,information-technology-services
SQSP,information-technology-services
SSNC,information-technology-services
SWCH,information-technology-services
SYKE,information-technology-services
TAOP,information-technology-services
TRU,information-technology-services
VIAV,information-technology-services
VMW,information-technology-services
VRNS,information-technology-services
VRNT,information-technology-services
WDAY,information-technology-services
WIT,information-technology-services
WIX,information-technology-services
WK,information-technology-services
XELA,information-technology-services
AJG,insurance-brokers-services
AON,insurance-brokers-services
BRO,insurance-brokers-services
EBIX,insurance-brokers-services
ESGR,insurance-brokers-services
MMC,insurance-brokers-services
VRSK,insurance-brokers-services
WLTW,insurance-brokers-services
AXAS,integrated-oil
BP,integrated-oil
CNX,integrated-oil
COG,integrated-oil
CVX,integrated-oil
EC,integrated-oil
EQNR,integrated-oil
IMO,integrated-oil
NFG,integrated-oil
PBR,integrated-oil
PBR.,integrated-oil
PTR,integrated-oil
RDS.,integrated-oil
SNP,integrated-oil
SU,integrated-oil
TELL,integrated-oil
TTE,integrated-oil
VNOM,integrated-oil
XOM,integrated-oil
YPF,integrated-oil
AMZN,internet-retail
APRN,internet-retail
BABA,internet-retail
BZUN,internet-retail
DLTH,internet-retail
FLWS,internet-retail
JD,internet-retail
LIVE,internet-retail
OSTK,internet-retail
OZON,internet-retail
PDD,internet-retail
PRTS,internet-retail
QRTE,internet-retail
SHOP,internet-retail
VIPS,internet-retail
WISH,internet-retail
WTRH,internet-retail
AEYE,internet-software-services
AKAM,internet-software-services
ANGI,internet-software-services
APPS,internet-software-services
ARCE,internet-software-services
ATHM,internet-software-services
BIDU,internet-software-services
BILI,internet-software-services
CARG,internet-software-services
CARS,internet-software-services
CDLX,internet-software-services
CHKP,internet-software-services
COUR,internet-software-services
CRTO,internet-software-services
CSGP,internet-software-services
DADA,internet-software-services
DASH,internet-software-services
DKNG,internet-software-services
EVER,internet-software-services
FB,internet-software-services
FTCH,internet-software-services
GDDY,internet-software-services
GOOG,internet-software-services
IAC,internet-software-services
IQ,internet-software-services
JCOM,internet-software-services
JMIA,internet-software-services
JOBS,internet-software-services
LLNW,internet-software-services
LPSN,internet-software-services
MELI,internet-software-services
