,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
82,WMT,WALTON ALICE L,10% Owner,"Jun 15, 2021",$140.00,851363,119188058,338120443,"Jun 16, 2021, 06:20 PM",sell
83,WMT,WALTON ALICE L,10% Owner,"Jun 14, 2021",$140.40,1013942,142352995,338961806,"Jun 16, 2021, 06:20 PM",sell
84,LII,Young Douglas L,"EVP, President & COO RHC","Jun 15, 2021",$334.97,8704,2915589,62824,"Jun 16, 2021, 06:19 PM",sell
85,NVDA,BURGESS ROBERT K,Director,"Jun 15, 2021",$713.22,4000,2852879,9541,"Jun 16, 2021, 06:18 PM",sell
86,WMT,WALTON JIM C,10% Owner,"Jun 15, 2021",$140.00,851363,119188058,338120443,"Jun 16, 2021, 06:17 PM",sell
87,WMT,WALTON JIM C,10% Owner,"Jun 14, 2021",$140.40,1013942,142352995,338961806,"Jun 16, 2021, 06:17 PM",sell
88,WMT,WALTON JIM C,10% Owner,"Jun 16, 2021",$137.84,1230301,169587936,337307075,"Jun 16, 2021, 06:17 PM",sell
89,CIEN,PETRIK ANDREW C,"VP, CONTROLLER","Jun 15, 2021",$58.13,1000,58130,34522,"Jun 16, 2021, 06:14 PM",sell
90,MIME,Anderson Karen M.,Chief Human Resources Officer,"Jun 15, 2021",$52.20,21067,1099691,0,"Jun 16, 2021, 06:05 PM",sell
91,MIME,Anderson Karen M.,Chief Human Resources Officer,"Jun 14, 2021",$52.02,13530,703889,4365,"Jun 16, 2021, 06:05 PM",sell
92,RFP,Ouellet Daniel,SVP Human Resources,"Jun 16, 2021",$13.51,5000,67550,100865,"Jun 16, 2021, 06:05 PM",sell
93,AYRO,Keller Rodney C. Jr.,Chief Executive Officer,"Jun 15, 2021",$5.21,70000,364560,511250,"Jun 16, 2021, 05:55 PM",sell
94,AYRO,Keller Rodney C. Jr.,Chief Executive Officer,"Jun 14, 2021",$5.47,70000,382627,581250,"Jun 16, 2021, 05:55 PM",sell
95,CHWY,Helfrick Susan,General Counsel,"Jun 14, 2021",$75.04,18646,1399233,70974,"Jun 16, 2021, 05:55 PM",sell
96,CHWY,Helfrick Susan,General Counsel,"Jun 15, 2021",$74.99,18658,1399201,52316,"Jun 16, 2021, 05:55 PM",sell
97,NWPX,LARSON KEITH R,Director,"Jun 14, 2021",$30.08,1000,30084,21414,"Jun 16, 2021, 05:54 PM",sell
98,APPS,COLLINS CHRISTINE,Chief Technology Officer,"Jun 15, 2021",$70.02,40000,2800800,0,"Jun 16, 2021, 05:52 PM",sell
99,NVTA,Guyer Shelly D,Chief Financial Officer,"Jun 14, 2021",$31.63,9910,313405,241975,"Jun 16, 2021, 05:52 PM",sell
100,NVTA,Stueland Katherine,Chief Commercial Officer,"Jun 14, 2021",$31.60,20340,642679,223065,"Jun 16, 2021, 05:51 PM",sell
