,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
14,CSTR,Duncan Denis J.,Chief Financial Officer,"Jun 14, 2021",$21.13,9640,203693,54440,"Jun 15, 2021, 02:20 PM",buy
15,FRST,Diaz Deborah,Director,"Jun 15, 2021",$15.59,1606,25038,6611,"Jun 15, 2021, 12:51 PM",buy
16,FRST,Diaz Deborah,Director,"Jun 14, 2021",$15.51,1290,20008,5005,"Jun 15, 2021, 12:51 PM",buy
17,IBCP,Kruse Ronia F,Director,"Jun 11, 2021",$22.60,1000,22600,1000,"Jun 15, 2021, 11:59 AM",buy
18,TPL,STAHL MURRAY,Director,"Jun 14, 2021",$1498.00,2,2996,102293,"Jun 15, 2021, 11:40 AM",buy
19,TPL,STAHL MURRAY,Director,"Jun 14, 2021",$1498.00,3,4494,1184,"Jun 15, 2021, 11:40 AM",buy
20,TPL,STAHL MURRAY,Director,"Jun 14, 2021",$1498.00,1,1498,42862,"Jun 15, 2021, 11:40 AM",buy
21,TPL,STAHL MURRAY,Director,"Jun 14, 2021",$1498.00,10,14980,868,"Jun 15, 2021, 11:40 AM",buy
22,TPL,STAHL MURRAY,Director,"Jun 14, 2021",$1498.00,1,1498,1340,"Jun 15, 2021, 11:40 AM",buy
23,TPL,STAHL MURRAY,Director,"Jun 14, 2021",$1498.00,12,17976,228291,"Jun 15, 2021, 11:40 AM",buy
24,FGBI,Smith Edgar R. III,Director,"May 27, 2021",$19.35,548,10604,8492,"Jun 15, 2021, 11:15 AM",buy
25,FGBI,Smith Edgar R. III,Director,"Jun 09, 2021",$19.35,3615,69950,12107,"Jun 15, 2021, 11:15 AM",buy
26,CPTA,Carroll Larry W.,Director,"Jun 14, 2021",$26.31,3000,78930,57158,"Jun 15, 2021, 11:13 AM",buy
27,HIE,"Saba Capital Management, L.P.",10% Owner,"Jun 14, 2021",$10.70,22821,244185,2768348,"Jun 15, 2021, 09:59 AM",buy
28,HIE,"Saba Capital Management, L.P.",10% Owner,"Jun 11, 2021",$10.71,40000,428400,2745527,"Jun 15, 2021, 09:59 AM",buy
29,OPK,FROST PHILLIP MD ET AL,CEO & Chairman,"Jun 14, 2021",$3.62,200000,723927,192971694,"Jun 15, 2021, 07:24 AM",buy
30,OBTX,Hawkins Michael W,CFO,"Jun 14, 2021",$4.75,20200,95950,55200,"Jun 15, 2021, 06:15 AM",buy
31,NYCB,Savarese Lawrence J.,Director,"Jun 14, 2021",$11.71,3700,43327,87176,"Jun 15, 2021, 06:02 AM",buy
32,NYCB,Savarese Lawrence J.,Director,"Jun 14, 2021",$11.73,8300,97359,17800,"Jun 15, 2021, 06:02 AM",buy
33,NYCB,Savarese Lawrence J.,Director,"Jun 14, 2021",$11.69,5700,66605,5700,"Jun 15, 2021, 06:02 AM",buy
34,OPEN,Keffer Pueo,Director,"Jun 14, 2021",$17.37,56818,986735,247115,"Jun 14, 2021, 09:14 PM",buy
35,MELI,Calemzuk Emiliano,Director,"Jun 12, 2020",$876.75,170,149048,170,"Jun 14, 2021, 08:17 PM",buy
36,EMMA,Niihara Yutaka,Chairman and CEO,"Jun 14, 2021",$1.60,1416,2266,10761131,"Jun 14, 2021, 08:02 PM",buy
37,EMMA,Niihara Yutaka,Chairman and CEO,"Jun 11, 2021",$1.58,800,1264,10759715,"Jun 14, 2021, 08:02 PM",buy
38,EMMA,Niihara Yutaka,Chairman and CEO,"Jun 10, 2021",$1.65,1000,1650,10758915,"Jun 14, 2021, 08:02 PM",buy
39,BH,"BIGLARI, SARDAR",Chairman and CEO,"Jun 11, 2021",$915.33,537,491532,81463,"Jun 14, 2021, 07:11 PM",buy
40,BH,"BIGLARI, SARDAR",Chairman and CEO,"Jun 10, 2021",$899.89,245,220473,80926,"Jun 14, 2021, 07:11 PM",buy
41,BH,"BIGLARI, SARDAR",Chairman and CEO,"Jun 14, 2021",$905.00,38,34390,81501,"Jun 14, 2021, 07:11 PM",buy
42,NURO,"Topline Capital Management, LLC",See Explanation in Footnotes,"Jun 10, 2021",$3.42,28238,96574,570478,"Jun 14, 2021, 06:50 PM",buy
43,SQFT,Sragovicz Adam,Chief Financial Officer,"Jun 11, 2021",$25.00,1000,25000,1000,"Jun 14, 2021, 06:22 PM",buy
44,NURO,"Topline Capital Partners, LP",10% Owner,"Jun 10, 2021",$3.42,28238,96574,570478,"Jun 14, 2021, 06:22 PM",buy
45,NYCB,Rosenfeld Ronald A.,Director,"Jun 14, 2021",$11.58,20000,231600,119786,"Jun 14, 2021, 06:18 PM",buy
46,CERC,NEIL GARRY ARTHUR,Chief Scientific Officer,"Jun 10, 2021",$2.28,3692,8418,81372,"Jun 14, 2021, 05:04 PM",buy
47,CERC,Greenway Schond L.,CFO,"Jun 10, 2021",$2.68,652,1747,1652,"Jun 14, 2021, 05:03 PM",buy
48,CERC,Harrell James Archie Jr,Chief Commercial Officer,"Jun 10, 2021",$2.28,7493,17084,35673,"Jun 14, 2021, 05:02 PM",buy
49,GLW,Ferguson Roger W. Jr.,Director,"Jun 14, 2021",$42.14,1420,59839,6938,"Jun 14, 2021, 04:10 PM",buy
50,LMST,Kooman Kevin James,Director,"Jun 10, 2021",$16.25,232,3770,307906,"Jun 14, 2021, 04:06 PM",buy
51,KFS,STILWELL JOSEPH,Director,"Jun 10, 2021",$4.99,342589,1710752,4450978,"Jun 14, 2021, 03:45 PM",buy
52,NWFL,Nolan Alexandra K,Director,"Jun 11, 2021",$25.59,10000,255900,151778,"Jun 14, 2021, 02:41 PM",buy
53,BDL,ONeil Christopher Barry,Vice President,"Mar 13, 2020",$16.02,4000,64068,4000,"Jun 14, 2021, 02:21 PM",buy
54,DGICA,DONEGAL MUTUAL INSURANCE CO,10% Owner,"Jun 11, 2021",$15.22,200000,3044000,10542692,"Jun 14, 2021, 01:14 PM",buy
55,PTRS,Wheatley Robert C.,Director,"Jun 11, 2021",$8.00,365,2920,13185,"Jun 14, 2021, 12:49 PM",buy
56,BRT,GOULD FREDRIC H,Director,"Jun 11, 2021",$17.35,11500,199525,11500,"Jun 14, 2021, 12:17 PM",buy
57,BRT,GOULD FREDRIC H,Director,"Jun 11, 2021",$17.35,2500,43375,10012,"Jun 14, 2021, 12:17 PM",buy
58,VABK,CARTER KEVIN T,Director,"Jun 10, 2021",$33.00,1550,51150,5160,"Jun 14, 2021, 11:52 AM",buy
59,RCG,STAHL MURRAY,President and CEO,"Jun 11, 2021",$2.53,75,190,157600,"Jun 14, 2021, 11:26 AM",buy
60,RCG,STAHL MURRAY,President and CEO,"Jun 11, 2021",$2.53,300,759,158200,"Jun 14, 2021, 11:26 AM",buy
61,RCG,STAHL MURRAY,President and CEO,"Jun 11, 2021",$2.53,300,759,157900,"Jun 14, 2021, 11:26 AM",buy
62,ALTO,NATHAN GILBERT E,Director,"Jun 11, 2021",$6.08,25000,151997,346560,"Jun 14, 2021, 07:30 AM",buy
63,ALTO,NATHAN GILBERT E,Director,"Jun 10, 2021",$6.15,15000,92248,321560,"Jun 14, 2021, 07:30 AM",buy
64,ADOM,Barcellos Melissa,Director,"Jun 09, 2021",$0.25,3670,919,8170,"Jun 11, 2021, 08:06 PM",buy
65,AMST,Sastry Ann Marie,CHIEF EXECUTIVE OFFICER,"Jun 11, 2021",$3.73,15000,55950,6241667,"Jun 11, 2021, 07:43 PM",buy
